year,sector,text
2024,retail,AI-powered retail assistant with machine learning 2
2024,manufacturing,classic manufacturing product line 0
2024,manufacturing,classic manufacturing product line 1
2024,manufacturing,classic manufacturing product line 2
2024,manufacturing,classic manufacturing product line 3
2024,manufacturing,AI-powered manufacturing assistant with machine learning 0
2024,manufacturing,AI-powered manufacturing assistant with machine learning 1
2024,media,classic media product line 0
2024,media,classic media product line 1
2024,media,classic media product line 2
2024,media,classic media product line 3
2024,media,AI-powered media assistant with machine learning 0
2024,media,AI-powered media assistant with machine learning 1
2024,media,AI-powered media assistant with machine learning 2
2025,software,classic software product line 0
2025,software,classic software product line 1
2025,software,classic software product line 2
2025,software,classic software product line 3
2025,software,AI-powered software assistant with machine learning 0
2025,software,AI-powered software assistant with machine learning 1
2025,software,AI-powered software assistant with machine learning 2
2025,software,AI-powered software assistant with machine learning 3
2025,software,AI-powered software assistant with machine learning 4
2025,software,AI-powered software assistant with machine learning 5
2025,finance,classic finance product line 0
2025,finance,classic finance product line 1
2025,finance,classic finance product line 2
2025,finance,classic finance product line 3
2025,finance,AI-powered finance assistant with machine learning 0
2025,finance,AI-powered finance assistant with machine learning 1
2025,finance,AI-powered finance assistant with machine learning 2
2025,finance,AI-powered finance assistant with machine learning 3
2025,finance,AI-powered finance assistant with machine learning 4
2025,finance,AI-powered finance assistant with machine learning 5
2025,healthcare,classic healthcare product line 0
2025,healthcare,classic healthcare product line 1
2025,healthcare,classic healthcare product line 2
2025,healthcare,classic healthcare product line 3
2025,healthcare,AI-powered healthcare assistant with machine learning 0
2025,healthcare,AI-powered healthcare assistant with machine learning 1
2025,healthcare,AI-powered healthcare assistant with machine learning 2
2025,healthcare,AI-powered healthcare assistant with machine learning 3
2025,healthcare,AI-powered healthcare assistant with machine learning 4
2025,retail,classic retail product line 0
2025,retail,classic retail product line 1
2025,retail,classic retail product line 2
2025,retail,classic retail product line 3
2025,retail,AI-powered retail assistant with machine learning 0
2025,retail,AI-powered retail assistant with machine learning 1
2025,retail,AI-powered retail assistant with machine learning 2
2025,retail,AI-powered retail assistant with machine learning 3
2025,manufacturing,classic manufacturing product line 0
2025,manufacturing,classic manufacturing product line 1
2025,manufacturing,classic manufacturing product line 2
2025,manufacturing,classic manufacturing product line 3
2025,manufacturing,AI-powered manufacturing assistant with machine learning 0
2025,manufacturing,AI-powered manufacturing assistant with machine learning 1
2025,manufacturing,AI-powered manufacturing assistant with machine learning 2
2025,media,classic media product line 0
2025,media,classic media product line 1
2025,media,classic media product line 2
2025,media,classic media product line 3
2025,media,AI-powered media assistant with machine learning 0
2025,media,AI-powered media assistant with machine learning 1
2025,media,AI-powered media assistant with machine learning 2
2025,media,AI-powered media assistant with machine learning 3
